broken,carcase,distance,drive_unit,fuel,model,power,price,transmission,volume,year
True,купе,54851,полный,дизель, BMW 6 серия,313,2390000,AT,3.0,2013
True,седан,360000,задний,бензин, BMW 5 серия,170,250000,AT,2.5,2000
True,седан,136000,задний,бензин, BMW 5 серия,204,910000,AT,2.5,2010
True,внедорожник,85380,полный,дизель, BMW X6,249,3250000,AT,3.0,2016
True,седан,45000,полный,дизель, BMW 7 серия,265,4200000,AT,3.0,2016
True,внедорожник,236000,полный,дизель, BMW X5,235,1099000,AT,3.0,2009
True,универсал,140000,полный,дизель, BMW X1,177,780000,AT,2.0,2010
True,седан,158000,полный,бензин, BMW 7 серия,407,1150000,AT,4.4,2011
True,седан,21630,полный,дизель, BMW 7 серия,265,4400000,AT,3.0,2017
True,седан,130000,задний,бензин, BMW 5 серия,204,800000,AT,2.5,2010
True,седан,95698,задний,дизель, BMW 3 серия,184,964000,AT,2.0,2012
True,внедорожник,44000,полный,бензин, BMW X6,306,1500000,AT,3.0,2011
True,внедорожник,180000,полный,бензин, BMW X6,306,1040000,AT,3.0,2008
True,хетчбэк,150000,задний,бензин, BMW 1 серия,136,555000,MT,1.6,2011
True,хетчбэк,118000,задний,бензин, BMW 1 серия,116,520000,AT,1.6,2011
True,внедорожник,53000,полный,бензин, BMW X6,306,1847000,AT,3.0,2012
True,внедорожник,272500,полный,бензин, BMW X5,285,280000,AT,4.4,2000
True,седан,250000,задний,дизель, BMW 5 серия,272,550000,AT,3.5,2006
True,хетчбэк,107100,задний,бензин, BMW 1 серия,116,440000,AT,1.6,2008
True,седан,280000,задний,бензин, BMW 5 серия,170,260000,MT,2.5,1999
True,внедорожник,261000,полный,дизель, BMW X5,218,620000,AT,3.0,2004
True,седан,103000,полный,дизель, BMW 5 серия,258,1499000,AT,3.0,2012
True,внедорожник,223000,полный,бензин, BMW X5,320,685000,AT,4.4,2005
True,купе,102000,задний,бензин, BMW 4 серия,184,1599000,AT,2.0,2014
True,седан,95000,задний,бензин, BMW 3 серия,136,1000000,AT,1.6,2014
True,седан,177000,задний,бензин, BMW 5 серия,218,560000,AT,2.5,2008
True,внедорожник,174000,задний,бензин, BMW X1,150,630000,AT,2.0,2011
True,седан,85000,задний,бензин, BMW 5 серия,180,1199000,AT,1.8,2013
True,седан,190000,задний,бензин, BMW 3 серия,125,100000,MT,1.8,1998
True,купе,200000,задний,бензин, BMW 3 серия,193,150000,MT,2.8,1999
True,универсал,360000,полный,бензин, BMW X5,231,416000,AT,3.0,2002
True,внедорожник,20700,полный,дизель, BMW X5,249,3150000,AT,3.0,2014
True,универсал,375000,полный,бензин, BMW X5,231,485000,AT,3.0,2001
True,седан,128000,полный,бензин, BMW 5 серия,272,750000,AT,3.0,2007
True,внедорожник,102000,полный,бензин, BMW X5,306,1290000,AT,3.0,2011
True,универсал,269000,полный,бензин, BMW X5,231,700000,AT,3.0,2005
True,седан,135000,задний,бензин, BMW 5 серия,218,539000,AT,2.5,2006
True,внедорожник,81000,передний,бензин, BMW X1,150,659000,AT,2.0,2012
True,седан,200000,задний,бензин, BMW 5 серия,120,50000,MT,2.0,1992
True,универсал,226000,задний,бензин, BMW 5 серия,218,605000,AT,2.5,2007
True,седан,145000,полный,бензин, BMW 7 серия,407,1049000,AT,4.4,2011
True,внедорожник,202000,полный,дизель, BMW X3,177,859000,AT,2.0,2010
True,седан,260000,задний,дизель, BMW 7 серия,231,699000,AT,3.0,2007
True,седан,300000,задний,бензин, BMW 7 серия,235,50000,AT,3.5,1997
True,внедорожник,161000,полный,дизель, BMW X5,265,1075000,AT,3.0,2009
True,седан,217000,задний,бензин, BMW 7 серия,286,365000,AT,4.4,1998
True,купе,345443,задний,бензин, BMW 3 серия,150,250000,MT,2.0,1999
True,внедорожник,187987,полный,бензин, BMW X5,286,329000,AT,4.4,2000
True,хетчбэк,110000,задний,бензин, BMW 1 серия,136,699000,AT,1.6,2012
True,седан,205000,задний,бензин, BMW 5 серия,150,275000,MT,2.0,1991
True,универсал,72000,полный,дизель, BMW X6,245,2599000,AT,3.0,2012
True,внедорожник,49500,полный,дизель, BMW X6,245,2575000,AT,3.0,2012
True,внедорожник,97000,полный,бензин, BMW X5,408,1400000,AT,4.4,2012
True,внедорожник,240000,полный,бензин, BMW X3,231,385000,AT,3.0,2005
True,хетчбэк,86000,задний,бензин, BMW 1 серия,156,530000,AT,2.0,2008
True,внедорожник,46000,полный,дизель, BMW X6,249,3150000,AT,3.0,2015
